source_database,sha256,size_bytes,wind_sensor_name,sensor_match_basis,source_rows,matched_source_rows,excluded_source_rows,first_timestamp_raw,last_timestamp_raw,units_table,log_interval_table
portable/raw/updated_wind/DrumRoll.s3db,ee131fc45d98eb65d254d381a468ac55c74b685716ece23314a6de1352ffb6c3,15195136,,not_a_study_sensor_filename,199605,0,199605,2024-10-15 11:51:00,2025-03-18 18:07:00,[[2]],[[1]]
portable/raw/updated_wind/FireSong.s3db,7f587e47a4313029203518fa56b932c3f849c01724932c8923b513d7a061cd04,5693440,,not_a_study_sensor_filename,74771,0,74771,2023-10-10 21:51:00,2024-01-02 11:21:00,[[2]],[[1]]
portable/raw/updated_wind/FunStorm.s3db,8bb84132578c83c3dfa4b29f5005ca500cb08d5afde87d85ed69cfb57e6c50cb,5706752,FunStorm,exact_case_insensitive_filename,74841,74746,95,2023-12-15 14:05:00,2024-02-05 16:05:00,[[2]],[[1]]
portable/raw/updated_wind/GemShine.s3db,3e105282e128c971c2008b6ee2deaca9c996f712cee54cdfa61ff0e0071b220d,17025024,,not_a_study_sensor_filename,223195,0,223195,2024-10-14 13:25:00,2025-03-18 17:56:00,[[2]],[[1]]
portable/raw/updated_wind/GlowWire.s3db,7e1c7ea983d4bd5f8975dbad981aaec5c68edcf3b5d27528ec8d7b2227e5bf34,32862208,,not_a_study_sensor_filename,431133,0,431133,20024-03-04 00:22:00,2025-03-18 18:02:00,[[2]],[[1]]
portable/raw/updated_wind/HeatSync.s3db,a3be9bcbb6682e5f884f555384dc48f9b37aaf2edb01b716b2e5676b0804354c,17104896,,not_a_study_sensor_filename,223148,0,223148,2008-01-01 00:01:00,2025-03-18 17:41:00,[[2]],[[1]]
portable/raw/updated_wind/JazzPlay.s3db,a2fe1caf9a3b5c7948edffa2f4e19c9caf65af175addfb70684fe19d4e8f5eab,3033088,JazzPlay,exact_case_insensitive_filename,40314,40241,73,2023-11-17 10:43:00,2023-12-15 12:23:00,[[2]],[[1]]
portable/raw/updated_wind/JoyHouse.s3db,d738af2c1130fd89f29dd2d50f736676a798c7abe63b9ab10ca4f3d43c3ccf3c,2320384,JoyHouse,exact_case_insensitive_filename,30928,30646,282,2008-01-01 00:01:00,2024-01-18 15:07:00,[[2]],[[1]]
portable/raw/updated_wind/LeafWind.s3db,557e2be8f5b0a153fd4b956b64549f51af036310c55da1da8d9905e112bcc42e,18849792,LeafWind,exact_case_insensitive_filename,248883,0,248883,2008-01-01 00:01:00,2024-10-14 13:43:00,[[2]],[[1]]
portable/raw/updated_wind/LightRay.s3db,06602d8faf027b649441415f24b5cfac5216513d312b526926f03871b3b4d23a,35158016,,not_a_study_sensor_filename,461349,0,461349,2008-01-01 00:01:00,2025-03-19 20:10:00,[[2]],[[1]]
