season,deployment_id,camera_name,image_filename,timestamp_recorded,temperature_c
2023-2024,SC9,WASP,SC9_20240124103201.JPG,2024-01-24T10:32:01,14.0
2023-2024,SC9,WASP,SC9_20240124104201.JPG,2024-01-24T10:42:01,14.0
2023-2024,SC9,WASP,SC9_20240124105201.JPG,2024-01-24T10:52:01,14.0
2023-2024,SC9,WASP,SC9_20240124110201.JPG,2024-01-24T11:02:01,15.0
2023-2024,SC9,WASP,SC9_20240124111201.JPG,2024-01-24T11:12:01,14.0
2023-2024,SC9,WASP,SC9_20240124112201.JPG,2024-01-24T11:22:01,14.0
2023-2024,SC9,WASP,SC9_20240124113201.JPG,2024-01-24T11:32:01,14.0
2023-2024,SC9,WASP,SC9_20240124114201.JPG,2024-01-24T11:42:01,14.0
2023-2024,SC9,WASP,SC9_20240124115201.JPG,2024-01-24T11:52:01,14.0
2023-2024,SC9,WASP,SC9_20240124120201.JPG,2024-01-24T12:02:01,14.0
2023-2024,SC9,WASP,SC9_20240124121201.JPG,2024-01-24T12:12:01,13.0
2023-2024,SC9,WASP,SC9_20240124122201.JPG,2024-01-24T12:22:01,13.0
2023-2024,SC9,WASP,SC9_20240124123201.JPG,2024-01-24T12:32:01,13.0
2023-2024,SC9,WASP,SC9_20240124124201.JPG,2024-01-24T12:42:01,13.0
2023-2024,SC9,WASP,SC9_20240124125201.JPG,2024-01-24T12:52:01,13.0
2023-2024,SC9,WASP,SC9_20240124130201.JPG,2024-01-24T13:02:01,13.0
2023-2024,SC9,WASP,SC9_20240124131201.JPG,2024-01-24T13:12:01,13.0
2023-2024,SC9,WASP,SC9_20240124132201.JPG,2024-01-24T13:22:01,13.0
2023-2024,SC9,WASP,SC9_20240124133201.JPG,2024-01-24T13:32:01,13.0
2023-2024,SC9,WASP,SC9_20240124134201.JPG,2024-01-24T13:42:01,14.0
2023-2024,SC9,WASP,SC9_20240124135201.JPG,2024-01-24T13:52:01,14.0
2023-2024,SC9,WASP,SC9_20240124140201.JPG,2024-01-24T14:02:01,14.0
2023-2024,SC9,WASP,SC9_20240124141201.JPG,2024-01-24T14:12:01,14.0
2023-2024,SC9,WASP,SC9_20240124142201.JPG,2024-01-24T14:22:01,14.0
2023-2024,SC9,WASP,SC9_20240124143201.JPG,2024-01-24T14:32:01,14.0
2023-2024,SC9,WASP,SC9_20240124144201.JPG,2024-01-24T14:42:01,14.0
2023-2024,SC9,WASP,SC9_20240124145201.JPG,2024-01-24T14:52:01,14.0
2023-2024,SC9,WASP,SC9_20240124150201.JPG,2024-01-24T15:02:01,14.0
2023-2024,SC9,WASP,SC9_20240124151201.JPG,2024-01-24T15:12:01,14.0
2023-2024,SC9,WASP,SC9_20240124152201.JPG,2024-01-24T15:22:01,14.0
2023-2024,SC9,WASP,SC9_20240124153201.JPG,2024-01-24T15:32:01,14.0
2023-2024,SC9,WASP,SC9_20240124154201.JPG,2024-01-24T15:42:01,14.0
2023-2024,SC9,WASP,SC9_20240124155201.JPG,2024-01-24T15:52:01,14.0
2023-2024,SC9,WASP,SC9_20240124160201.JPG,2024-01-24T16:02:01,14.0
2023-2024,SC9,WASP,SC9_20240124161201.JPG,2024-01-24T16:12:01,14.0
2023-2024,SC9,WASP,SC9_20240124162201.JPG,2024-01-24T16:22:01,14.0
2023-2024,SC9,WASP,SC9_20240124163201.JPG,2024-01-24T16:32:01,14.0
2023-2024,SC9,WASP,SC9_20240124164201.JPG,2024-01-24T16:42:01,14.0
2023-2024,SC9,WASP,SC9_20240124165201.JPG,2024-01-24T16:52:01,14.0
2023-2024,SC9,WASP,SC9_20240124170201.JPG,2024-01-24T17:02:01,14.0
2023-2024,SC9,WASP,SC9_20240124171201.JPG,2024-01-24T17:12:01,14.0
2023-2024,SC9,WASP,SC9_20240124172201.JPG,2024-01-24T17:22:01,13.0
2023-2024,SC9,WASP,SC9_20240124173201.JPG,2024-01-24T17:32:01,13.0
2023-2024,SC9,WASP,SC9_20240124174201.JPG,2024-01-24T17:42:01,13.0
2023-2024,SC9,WASP,SC9_20240124175202.JPG,2024-01-24T17:52:02,13.0
2023-2024,SC9,WASP,SC9_20240124180201.JPG,2024-01-24T18:02:01,13.0
2023-2024,SC9,WASP,SC9_20240124181201.JPG,2024-01-24T18:12:01,13.0
2023-2024,SC9,WASP,SC9_20240124182201.JPG,2024-01-24T18:22:01,13.0
2023-2024,SC9,WASP,SC9_20240124183201.JPG,2024-01-24T18:32:01,13.0
2023-2024,SC9,WASP,SC9_20240124184201.JPG,2024-01-24T18:42:01,13.0
2023-2024,SC9,WASP,SC9_20240124185201.JPG,2024-01-24T18:52:01,13.0
2023-2024,SC9,WASP,SC9_20240124190201.JPG,2024-01-24T19:02:01,13.0
2023-2024,SC9,WASP,SC9_20240124191201.JPG,2024-01-24T19:12:01,13.0
2023-2024,SC9,WASP,SC9_20240124192201.JPG,2024-01-24T19:22:01,13.0
2023-2024,SC9,WASP,SC9_20240124193201.JPG,2024-01-24T19:32:01,13.0
2023-2024,SC9,WASP,SC9_20240124194201.JPG,2024-01-24T19:42:01,13.0
2023-2024,SC9,WASP,SC9_20240124195201.JPG,2024-01-24T19:52:01,13.0
2023-2024,SC9,WASP,SC9_20240124200201.JPG,2024-01-24T20:02:01,13.0
2023-2024,SC9,WASP,SC9_20240124201201.JPG,2024-01-24T20:12:01,13.0
2023-2024,SC9,WASP,SC9_20240124202201.JPG,2024-01-24T20:22:01,13.0
2023-2024,SC9,WASP,SC9_20240124203201.JPG,2024-01-24T20:32:01,12.0
2023-2024,SC9,WASP,SC9_20240124204201.JPG,2024-01-24T20:42:01,12.0
2023-2024,SC9,WASP,SC9_20240124205201.JPG,2024-01-24T20:52:01,13.0
2023-2024,SC9,WASP,SC9_20240124210201.JPG,2024-01-24T21:02:01,12.0
2023-2024,SC9,WASP,SC9_20240124211201.JPG,2024-01-24T21:12:01,12.0
2023-2024,SC9,WASP,SC9_20240124212201.JPG,2024-01-24T21:22:01,13.0
2023-2024,SC9,WASP,SC9_20240124213201.JPG,2024-01-24T21:32:01,12.0
2023-2024,SC9,WASP,SC9_20240124214201.JPG,2024-01-24T21:42:01,12.0
2023-2024,SC9,WASP,SC9_20240124215201.JPG,2024-01-24T21:52:01,12.0
2023-2024,SC9,WASP,SC9_20240124220201.JPG,2024-01-24T22:02:01,12.0
2023-2024,SC9,WASP,SC9_20240124221201.JPG,2024-01-24T22:12:01,12.0
2023-2024,SC9,WASP,SC9_20240124222201.JPG,2024-01-24T22:22:01,12.0
2023-2024,SC9,WASP,SC9_20240124223201.JPG,2024-01-24T22:32:01,12.0
2023-2024,SC9,WASP,SC9_20240124224201.JPG,2024-01-24T22:42:01,12.0
2023-2024,SC9,WASP,SC9_20240124225201.JPG,2024-01-24T22:52:01,13.0
2023-2024,SC9,WASP,SC9_20240124230201.JPG,2024-01-24T23:02:01,13.0
2023-2024,SC9,WASP,SC9_20240124231201.JPG,2024-01-24T23:12:01,13.0
2023-2024,SC9,WASP,SC9_20240124232201.JPG,2024-01-24T23:22:01,13.0
