deployment_id,camera_name,image_filename,timestamp_recorded,primary_observer,record_user_id,classification_confirmed,is_night,cells_0,cells_1_9,cells_10_99,cells_100_999,sun_exposed_cells_1_9,sun_exposed_cells_10_99,sun_exposed_cells_100_999,butterfly_index,sun_exposed_butterfly_index
SC1,EM03,SC1_20231117223001.JPG,2023-11-17T22:30:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117223501.JPG,2023-11-17T22:35:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117224001.JPG,2023-11-17T22:40:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117224501.JPG,2023-11-17T22:45:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117225001.JPG,2023-11-17T22:50:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117225501.JPG,2023-11-17T22:55:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117230001.JPG,2023-11-17T23:00:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117230501.JPG,2023-11-17T23:05:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117231001.JPG,2023-11-17T23:10:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117231501.JPG,2023-11-17T23:15:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117232001.JPG,2023-11-17T23:20:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117232501.JPG,2023-11-17T23:25:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117233001.JPG,2023-11-17T23:30:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117233502.JPG,2023-11-17T23:35:02,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117234001.JPG,2023-11-17T23:40:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117234501.JPG,2023-11-17T23:45:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117235001.JPG,2023-11-17T23:50:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231117235501.JPG,2023-11-17T23:55:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118000001.JPG,2023-11-18T00:00:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118000501.JPG,2023-11-18T00:05:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118001001.JPG,2023-11-18T00:10:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118001501.JPG,2023-11-18T00:15:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118002001.JPG,2023-11-18T00:20:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118002501.JPG,2023-11-18T00:25:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118003001.JPG,2023-11-18T00:30:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118003501.JPG,2023-11-18T00:35:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118004001.JPG,2023-11-18T00:40:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118004501.JPG,2023-11-18T00:45:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118005001.JPG,2023-11-18T00:50:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118005501.JPG,2023-11-18T00:55:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118010001.JPG,2023-11-18T01:00:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118010501.JPG,2023-11-18T01:05:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118011001.JPG,2023-11-18T01:10:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118011501.JPG,2023-11-18T01:15:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118012001.JPG,2023-11-18T01:20:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118012501.JPG,2023-11-18T01:25:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118013001.JPG,2023-11-18T01:30:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118013501.JPG,2023-11-18T01:35:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118014001.JPG,2023-11-18T01:40:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118014501.JPG,2023-11-18T01:45:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118015001.JPG,2023-11-18T01:50:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118015501.JPG,2023-11-18T01:55:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118020001.JPG,2023-11-18T02:00:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118020501.JPG,2023-11-18T02:05:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118021001.JPG,2023-11-18T02:10:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118021501.JPG,2023-11-18T02:15:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118022001.JPG,2023-11-18T02:20:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118022501.JPG,2023-11-18T02:25:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118023001.JPG,2023-11-18T02:30:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118023501.JPG,2023-11-18T02:35:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118024001.JPG,2023-11-18T02:40:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118024501.JPG,2023-11-18T02:45:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118025001.JPG,2023-11-18T02:50:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118025501.JPG,2023-11-18T02:55:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118030001.JPG,2023-11-18T03:00:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118030501.JPG,2023-11-18T03:05:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118031001.JPG,2023-11-18T03:10:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118031501.JPG,2023-11-18T03:15:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118032001.JPG,2023-11-18T03:20:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118032501.JPG,2023-11-18T03:25:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118033001.JPG,2023-11-18T03:30:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118033501.JPG,2023-11-18T03:35:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118034001.JPG,2023-11-18T03:40:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118034501.JPG,2023-11-18T03:45:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118035001.JPG,2023-11-18T03:50:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118035501.JPG,2023-11-18T03:55:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118040001.JPG,2023-11-18T04:00:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118040501.JPG,2023-11-18T04:05:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118041001.JPG,2023-11-18T04:10:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118041501.JPG,2023-11-18T04:15:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118042001.JPG,2023-11-18T04:20:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118042501.JPG,2023-11-18T04:25:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118043001.JPG,2023-11-18T04:30:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118043501.JPG,2023-11-18T04:35:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
SC1,EM03,SC1_20231118044001.JPG,2023-11-18T04:40:01,Skyler,SM,True,True,117,24,3,0,0,0,0,54,0
