source_relative_path,original_timestamp_recorded,timestamp_recorded,image_filename
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0141.JPG,2022-09-14T16:16:04,2023-12-16T15:46:56.733,TGR1_20231216154656.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0142.JPG,2022-09-14T16:26:04,2023-12-16T15:56:56.799,TGR1_20231216155656.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0143.JPG,2022-09-14T16:36:04,2023-12-16T16:06:56.864,TGR1_20231216160656.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0144.JPG,2022-09-14T16:46:04,2023-12-16T16:16:56.929,TGR1_20231216161656.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0145.JPG,2022-09-14T16:56:04,2023-12-16T16:26:56.994,TGR1_20231216162656.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0146.JPG,2022-09-14T17:06:04,2023-12-16T16:36:57.059,TGR1_20231216163657.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0147.JPG,2022-09-14T17:16:04,2023-12-16T16:46:57.124,TGR1_20231216164657.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0148.JPG,2022-09-14T17:26:04,2023-12-16T16:56:57.190,TGR1_20231216165657.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0149.JPG,2022-09-14T17:36:04,2023-12-16T17:06:57.255,TGR1_20231216170657.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0150.JPG,2022-09-14T17:46:04,2023-12-16T17:16:57.320,TGR1_20231216171657.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0151.JPG,2022-09-14T17:56:04,2023-12-16T17:26:57.385,TGR1_20231216172657.JPG
raw/Unusual Deployments/TGR1/20240105/DCIM/100MEDIA/DSCF0152.JPG,2022-09-14T18:06:05,2023-12-16T17:36:58.450,TGR1_20231216173658.JPG
